composer,nationality,key,year,info,npvi,meter
Berlioz,French,b-e-a-d-,1826,146.609,21.2346,2/2
Berlioz,French,b-e-a-d-,1826,97.6271,119.531,2/2
Bach,German,f#c#g#d#,1723,69.101,16.6667,3/8
Berlioz,French,f#c#g#,1844,88.4323,54.902,6/8
Berlioz,French,f#c#g#,1844,54.732,51.5152,6/8
Berlioz,French,f#c#g#,1844,102.872,32.9825,6/8
Bach,German,f#,1723,51.303,30.9091,4/4
Berlioz,French,b-e-a-,1830,128.881,72.4127,4/4
Berlioz,French,b-e-a-,1830,66.9288,67.1463,4/4
Berlioz,French,f#c#g#,1830,96.4295,34.5098,3/8
Berlioz,French,f#c#g#,1830,76.0419,67.7778,3/8
Berlioz,French,b-,1830,88.4323,31.1111,6/8
Bach,German,b-,1723,85.4838,7.84314,3/4
Berlioz,French,b-,1830,123.096,38.7164,6/8
Berlioz,French,b-e-,1830,129.304,40,4/4
Berlioz,French,b-e-,1830,84.4979,80.7273,4/4
Berlioz,French,b-e-a-,1830,98.0964,53.6667,6/8
Berlioz,French,b-e-a-,1830,70.9881,66.6667,6/8
Berlioz,French,f#,1834,131.216,0,3/4
Berlioz,French,f#,1834,90.1075,28.3333,3/4
Berlioz,French,f#,1834,72.8289,100.838,3/4
Berlioz,French,f#,1834,53.8772,79.9365,3/4
Bach,German,b-e-a-d-,1723,64.732,34.9206,3/4
Berlioz,French,f#,1834,106.096,24.5614,6/8
Berlioz,French,f#,1834,50.3904,45.8333,6/8
Berlioz,French,f#c#g#d#,1834,84.9272,20.8333,2/4
Berlioz,French,b-e-,1834,128.881,50,2/2
Berlioz,French,b-e-,1834,124.127,42.0635,2/2
Berlioz,French,b-e-,1834,69.5098,101.429,2/2
Bernstein,American,f#c#,1944,82.1075,62.8283,4/4
Bernstein,American,f#c#,1944,99.6271,63.0386,4/4
Bizet,French,b-e-a-,1872,151.915,56.4295,4/4
Bizet,French,b-e-a-d-,1872,128.881,38.9945,4/4
Bach,German,f#,1723,65.6837,8.33333,9/8
Bizet,French,b-e-a-,1872,121.836,12.8205,3/4
Bizet,French,b-e-a-d-,1872,64,69.0476,3/4
Bizet,French,b-e-a-,1872,129.97,2.66667,3/4
Bizet,French,b-,1872,103.847,44.0009,3/4
Bizet,French,f#c#g#d#,1872,90.4323,24.6504,3/4
Bizet,French,f#c#g#d#,1872,66.7106,84.1492,6/8
Bizet,French,f#c#g#,1872,151.364,48.1441,4/4
Bizet,French,f#c#g#,1872,144.609,36.0248,3/4
Bizet,French,b-e-a-,1872,84.4979,53.3333,4/4
Bizet,French,b-e-a-,1872,72.8289,51.8519,4/4
