file	part	entropy	npvi	meter	file	part	sus	lnt	unt	ant
chor258.krn	 2	 4.60128	 50.6055	 *M4/4	chor258.hrm	 4	 3	 2	 0	 1
chor258.krn	 3	 4.633	 55.2079	 *M4/4	chor258.hrm	 4	 8	 4	 0	 2
chor258.krn	 4	 3.78139	 35.181	 *M4/4	chor258.hrm	 4	 0	 0	 0	 0
chor268.krn	 1	 4.91909	 26.3545	 *M4/4	chor268.hrm	 4	 0	 1	 0	 0
chor268.krn	 2	 4.80417	 29.1843	 *M4/4	chor268.hrm	 4	 4	 0	 0	 0
chor268.krn	 3	 4.3432	 29.2381	 *M4/4	chor268.hrm	 4	 2	 1	 0	 0
chor268.krn	 4	 4.25317	 18.9103	 *M4/4	chor268.hrm	 4	 0	 2	 0	 0
chor272.krn	 1	 4.18763	 10.3704	 *M4/4	chor272.hrm	 4	 0	 0	 0	 0
chor272.krn	 2	 4.61606	 28.3568	 *M4/4	chor272.hrm	 4	 1	 0	 0	 0
chor272.krn	 3	 4.74504	 33.2394	 *M4/4	chor272.hrm	 4	 7	 0	 0	 2
chor272.krn	 4	 4.17375	 13.1313	 *M4/4	chor272.hrm	 4	 0	 0	 0	 0
chor273.krn	 1	 4.61573	 19.3798	 *M4/4	chor273.hrm	 4	 0	 0	 0	 0
chor273.krn	 2	 4.72628	 28.7407	 *M4/4	chor273.hrm	 4	 0	 1	 0	 0
chor273.krn	 3	 4.72247	 32.4031	 *M4/4	chor273.hrm	 4	 3	 1	 1	 0
chor273.krn	 4	 4.06271	 18.5185	 *M4/4	chor273.hrm	 4	 0	 0	 1	 0
chor276.krn	 1	 4.49537	 28.1818	 *M4/4	chor276.hrm	 4	 0	 0	 0	 0
chor276.krn	 2	 4.48333	 24.1336	 *M4/4	chor276.hrm	 4	 0	 0	 1	 0
chor276.krn	 3	 4.01736	 27.1111	 *M4/4	chor276.hrm	 4	 0	 1	 0	 0
chor276.krn	 4	 3.88057	 19.8413	 *M4/4	chor276.hrm	 4	 0	 0	 0	 0
chor282.krn	 1	 4.31253	 15.4167	 *M4/4	chor282.hrm	 4	 0	 0	 0	 0
chor282.krn	 2	 4.78973	 34.0171	 *M4/4	chor282.hrm	 4	 7	 0	 0	 0
chor282.krn	 3	 4.30326	 27.1537	 *M4/4	chor282.hrm	 4	 0	 2	 1	 0
chor282.krn	 4	 4.11837	 27.3978	 *M4/4	chor282.hrm	 4	 0	 0	 2	 2
chor290.krn	 1	 4.60372	 21.5111	 *M4/4	chor290.hrm	 4	 1	 0	 0	 0
chor290.krn	 2	 4.45704	 24.7619	 *M4/4	chor290.hrm	 4	 0	 0	 0	 0
chor290.krn	 3	 4.66195	 24.1026	 *M4/4	chor290.hrm	 4	 4	 2	 0	 0
chor290.krn	 4	 4.16254	 14.1414	 *M4/4	chor290.hrm	 4	 0	 0	 0	 0
chor299.krn	 1	 4.56031	 18.2456	 *M4/4	chor299.hrm	 4	 0	 1	 0	 0
chor299.krn	 2	 4.443	 32.2051	 *M4/4	chor299.hrm	 4	 2	 2	 0	 0
chor299.krn	 3	 4.04483	 37.0909	 *M4/4	chor299.hrm	 4	 1	 1	 0	 0
