"","major_pitches","major_durations"
"1288","D4",0.5
"1289","G4",0.5
"1290","B4",0.167
"1291","C5",0.167
"1292","B4",0.167
"1293","G4",0.5
"1294","A4",0.167
"1295","B4",0.167
"1296","A4",0.167
"1297","G4",0.5
"1298","B4",0.5
"1299","G4",0.5
"1300","D5",0.5
"1301","C5",0.167
"1302","D5",0.167
"1303","C5",0.167
"1304","B4",0.5
"1305","A4",0.5
"1306","G4",1
"1307","D5",1
"1308","G5",1.5
"1309","F#5",0.5
"1310","G5",1.5
"1311","F#5",0.5
"1312","G5",0.75
"1313","F#5",0.25
"1314","G5",0.75
"1315","F#5",0.25
"1316","G5",0.5
"1317","F5",0.5
"1318","E5",0.5
"1319","D5",0.5
"1320","D4",0.5
"1321","G4",0.5
"1322","B4",0.5
"1323","G4",0.5
"1324","A4",0.5
"1325","G4",0.5
"1326","B4",0.5
"1327","G4",0.5
"1328","D5",0.5
"1329","C5",0.167
"1330","D5",0.167
"1331","C5",0.167
"1332","B4",0.5
"1333","A4",0.5
"1334","A4",0.167
"1335","B4",0.167
"1336","A4",0.167
"1337","G4",0.5
"1338","B4",0.5
"1339","D4",0.25
"1340","G4",0.25
"1341","B4",0.5
"1342","G4",0.5
"1343","A4",0.5
"1344","G4",0.5
"1345","B4",0.5
"1346","G4",0.5
"1347","B4",0.5
"1348","D5",0
"1349","C5",0.5
"1350","B4",0.25
"1351","C5",0.25
"1352","B4",0.25
"1353","A4",0.25
"1354","G4",2
"1355","B4",0.5
"1356","G4",1
"1357","G4",0.5
"1358","A4",0.5
"1359","B4",0.5
"1360","C5",1
"1361","B4",0.5
"1362","C5",0.25
"1363","B4",0.25
"1364","A4",0.5
"1365","G4",0.5
"1366","D5",0.5
"1367","D5",0.75
"1368","C5",0.25
"1369","B4",0.5
"1370","G4",1
"1371","G4",0.5
"1372","A4",0.5
"1373","B4",0.5
"1374","C5",1
"1375","B4",0.5
"1376","C5",0.25
"1377","B4",0.25
"1378","A4",0.5
